,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean,tag,tag_detailed,Comments
695211100003383,0.9925003,0.37086093,0.01986755,0.39171794,0.17153211,185440540.0,0.5250015,1.2126007,-0.60873413,-0.010283131,0.00021502985,1.0794002,-0.010444198,0.00026620642,0.15255618,0.7613393,205.34584,19.870771,0.26600075,0.98675495,1.0510006,0.07537863,0.046298925,252.71445,27.102943,1.0028352,25.46417,0.9944494,22.65825,30.539751,0.05618286,0.018859863,0.12122131,0.036103263,1.0768688,2.2129931,60.51334,16.31351,-0.2243074,0.45072305,0.90991545,19.55374,RSG,,
695211400134258,1.3505001,0.45689654,0.01724138,0.14656031,1.7129431,58590580.0,1.2799988,1.6981983,-1.1191461,-0.002389512,5.3828222e-05,492.32376,-0.0009355531,0.0016450204,0.26258993,0.8429519,108.55266,17.79134,0.6295004,0.8448276,1.6840019,0.10821756,0.08018706,6.4418025,6.3548174,1.1809971,6.024784,30.670671,5.520698,3.5999215,0.13085938,0.05053711,0.17570882,0.033196524,0.928466,0.995603,6.6809063,505.18423,-0.15742524,0.67231834,0.87496597,17.295605,artefact,M31 center,M31 center
695211400134417,1.6090002,0.3432836,0.03731343,0.15518609,1.7260344,1825962400.0,1.1509991,1.7964993,-0.30915737,0.0022394042,6.8100635e-05,382.76468,0.0018957626,0.0015931646,0.11751983,0.75385475,1387.883,18.484451,0.43700027,0.74626863,2.1219997,0.12583166,0.072430186,1.4781883,8.545529,3.0793657,8.054343,140.11115,5.167151,3.6074245,0.11621094,0.04248047,0.13476458,0.042020336,0.7528157,0.7650264,6.77667,388.0115,-0.62653124,0.7297338,0.8498491,17.693888,artefact,M31 center,M31 center
695211300004359,1.5075006,0.3140496,0.041322313,0.38329798,0.2396968,478493860.0,0.7287502,1.3518009,0.14169264,0.012649524,0.00017542297,21.399963,0.008001677,0.00086299464,0.097646035,0.6391476,443.95364,18.994236,0.33799934,0.90909094,1.5200005,0.09140032,0.04533293,0.9934342,23.089113,202.36255,22.825483,1.0032848,19.01471,16.069664,0.09059143,0.036712646,0.17306177,0.042804625,0.9276508,1.3524834,31.639,64.55915,-0.06584261,0.53945565,0.8550958,18.556396,Nova,,Atel7462 - burst in 2015
695211400134778,1.46,0.2815534,0.0776699,0.16554342,1.5762964,2971005000.0,0.73949814,1.5286007,0.38451242,0.007901454,9.533307e-05,360.47498,0.005537002,0.0018114311,0.12932743,0.59996104,1588.4673,18.10595,0.3390007,0.8640777,1.7280006,0.11795814,0.050434496,35.66391,6.6619635,23.235579,4.105467,139.41347,4.0766535,3.5550795,0.12451172,0.05029297,0.20206836,0.025048828,0.95466423,0.9414196,6.587105,424.33218,-0.5601015,0.5915401,0.8179064,17.60979,artefact,M31 center,M31 center
695211400134621,2.072,0.22222222,0.042735044,0.20517562,1.2867802,315413150.0,0.8167496,1.3111992,2.7496169,-0.0038005414,3.8303406e-05,1136.2908,-0.0024403513,0.0014058037,0.18305433,0.707673,355.1633,17.16193,0.38100052,0.9059829,2.6619997,0.11014792,0.053638957,165.14906,6.602354,23.085354,5.859444,1.0865071,5.453967,3.615403,0.123291016,0.05126953,0.18203114,0.043423723,0.99753076,0.9590203,6.6509542,1211.3478,-1.063906,0.6259713,0.7334898,16.854887,artefact,M31 center,M31 center
695211200008801,0.67350006,0.011857707,0.007905139,0.06451646,2.0271401,609031600.0,0.027999878,0.06219864,204.37367,1.699591e-05,4.0764004e-05,2.6606464,-2.5094354e-05,0.00013255556,0.12101958,0.5771849,79.73542,18.002453,0.013999939,0.99604744,1.2749996,0.004270337,0.0019948941,0.119777285,5.442803,0.13610841,5.3552103,0.17809844,5.299682,1.468396,0.29375458,0.046066284,0.32679382,0.009525874,0.60547423,0.4382573,2.4848347,2.6507895,13.597945,0.084409654,0.49465427,17.997524,artefact,bad column,bad column
695211200015230,0.52299976,0.008032128,0.008032128,0.07777724,2.0278504,2018287900.0,0.015001297,0.031000137,189.93678,0.000101975835,2.0275194e-05,14.19985,0.00020074013,0.00010563467,0.17478688,0.58063126,207.87187,16.36501,0.00799942,0.99598396,1.0090008,0.002448108,0.0011002903,133.57315,6.1529894,2.0010958,5.2882032,0.18626201,5.2727256,1.5436795,0.27233124,0.050498962,0.26064244,0.016433753,0.52061814,0.3962639,2.5553162,14.245676,13.245135,0.06841418,0.28562996,16.362492,artefact,bad column,bad column
695211200008024,1.0365,0.011811024,0.011811024,0.09324339,1.3083307,57451310.0,0.012000084,0.030200005,160.52722,-9.2854665e-05,1.8494124e-05,65.82279,-0.00015646088,0.00022159828,0.12962963,0.5297944,57.436096,15.510282,0.006000519,0.992126,2.026,0.0024390137,0.001032378,0.982981,6.4896054,61.057167,6.3799276,0.49467608,5.202432,1.8947729,0.26973724,0.058502197,0.30581853,0.002758126,0.4642473,0.45825666,3.0297594,65.68193,12.172644,0.14367922,0.21048187,15.50418,artefact,bad column,bad column
695211200009492,0.7250004,0.007874016,0.007874016,0.086196594,1.0770705,2339769900.0,0.02299881,0.045200348,126.6564,6.107278e-05,2.8893217e-05,9.274656,0.00033821567,0.0001691128,0.1442152,0.61946154,354.10684,17.359947,0.01099968,0.992126,1.3859997,0.0035964788,0.0016138258,0.98752344,4.1520987,0.116021544,4.0090647,0.49663046,3.9375212,1.8318049,0.40701294,0.025047302,0.41309887,0.009032265,1.0693691,0.6279377,2.6465006,9.256352,11.048281,0.110400654,0.33489618,17.352139,artefact,bad column,bad column
695211200032218,0.5435004,0.008064516,0.008064516,0.0910558,1.0143721,128225530.0,0.014499664,0.028999329,119.73657,-0.00013929517,1.8654628e-05,38.391594,-0.00019708421,0.00013915384,0.12785678,0.6207248,31.743164,15.688053,0.0069999695,0.9919355,1.0580006,0.002493603,0.0011479976,79.15575,6.158714,0.9853413,5.6202154,1.0128934,5.3802614,2.4658327,0.405159,0.024795532,0.42345732,0.003664314,1.1364754,0.65510523,4.064188,38.491333,10.87466,0.08977137,0.2211058,15.685491,artefact,bad column,bad column
695211400046832,0.9790001,0.14563107,0.029126214,0.22439513,0.78643703,295042620.0,0.21299934,0.44000053,18.727877,0.0021064465,0.0018520302,0.83460444,-0.00097314926,0.0019261276,0.15488356,0.6090894,341.42136,20.558653,0.10800171,0.99029124,1.6500015,0.028225023,0.013061048,76.90168,11.650066,1.0118642,11.465618,0.9847712,10.752406,5.0081,0.20132446,0.04348755,0.08295485,0.13915028,0.9028253,0.7862724,9.366056,0.83931345,3.3787644,0.24534866,0.72139883,20.518684,uncat,red star,Variable; red star
695211400128515,1.408,0.36283186,0.017699115,0.24136654,0.7737859,2583052000.0,1.0182495,1.6068001,-0.7583971,0.0015460462,0.00010590429,250.77141,0.0020072788,0.0016481379,0.19803067,0.75168145,1364.6271,18.304432,0.51799965,0.84070796,1.5300007,0.10927071,0.06598207,29.324684,10.134665,1.0348098,7.673511,51.13022,5.398101,11.244014,0.08276367,0.03149414,0.14205046,0.010705753,1.1077605,2.093123,21.808714,250.43471,-0.09673421,0.6354819,0.85003513,17.793673,artefact,,delta ~ 2 mag; bright star nearby; empty field fits; object in PS
695211400027347,0.967,0.36697248,0.018348623,0.43079275,0.30135322,587397300.0,0.8239994,1.2782001,-1.0904046,0.011836369,0.000538324,1.833114,0.010799228,0.0007445998,0.26801604,0.7288378,381.95312,20.598843,0.41700172,0.9908257,1.0549984,0.07401443,0.045172896,199.47324,12.728124,132.98215,11.939267,0.99388754,8.022832,21.740726,0.037109375,0.017822266,0.10550278,0.013193219,0.86132145,3.3199868,42.99591,6.2917056,-0.19567598,0.4890834,0.86151767,20.341236,Var,,"2MASS J00434749+4112585; however, it's position is not exactly corresponds oid"
695211400123032,1.7414999,0.3309859,0.028169014,0.14536743,1.5480721,8258435000.0,0.91399956,1.7042999,0.32848,0.004294566,8.4015854e-05,408.42932,0.0023775834,0.0014746317,0.18652171,0.6644955,2090.8105,18.392693,0.4510002,0.8450704,2.2574997,0.116762266,0.06158404,27.7183,9.332059,1.0359365,6.0020022,0.9638883,4.600239,6.0178094,0.08935547,0.04296875,0.15126649,0.012778012,0.8573611,1.2004238,11.581607,424.05035,-0.7095582,0.6695745,0.8209327,17.704647,artefact,bright star,bright star
695211400128356,2.1585002,0.24836601,0.052287582,0.21555993,1.2614814,2453895200.0,0.99699974,1.6851997,2.32902,-0.00963596,8.189073e-05,309.70636,-0.0039162147,0.001414115,0.122479334,0.7433545,1139.4818,19.124063,0.3619995,0.83006537,3.5439997,0.11898188,0.06471231,178.54932,10.464977,0.99194074,10.4012575,34.009396,9.460969,5.9864798,0.119506836,0.042663574,0.17303808,0.036670607,0.99379164,1.0581475,11.425224,398.76382,-1.3218805,0.7328956,0.74016935,17.948902,artefact,,empty field fits; near M31 center
