# fieldid, time (part of night), ra (deg), dec (deg)
547 0.5705 340.8113 11.7412
544 0.5702 319.8607 11.7473
1812 0.5683 43.2105 58.4493
765 0.5677 282.9330 47.6971
1801 0.5674 280.9577 51.2640
727 0.5668 287.0419 40.5252
500 0.5658 8.7446 11.7438
1765 0.5657 284.7456 44.0903
603 0.5656 23.5237 26.1289
592 0.5631 303.3732 18.9572
1726 0.5599 288.4847 36.8986
685 0.5559 290.4180 33.3315
809 0.5541 46.6524 62.0421
1778 0.5497 42.0463 51.2678
826 0.5487 273.3694 62.0590
1683 0.5462 291.8401 29.7098
652 0.5449 31.6950 33.2990
1547 0.5438 15.9569 15.3311
1588 0.5431 304.6599 15.3296
1599 0.5430 23.3198 22.5195
1865 0.5384 52.4532 72.7811
698 0.5378 37.4128 40.5115
639 0.5352 293.2499 26.1438
740 0.5324 42.3459 47.7023
1649 0.5265 31.4145 29.7028
1636 0.5220 294.6920 22.5070
1696 0.5208 37.2816 36.8955
542 0.5191 305.8954 11.7659
1831 0.5182 271.0343 58.4651
553 0.5182 23.1100 18.9347
501 0.5119 15.7280 11.7469
848 0.5110 265.7409 69.2261
1842 0.5093 53.8942 65.6213
777 0.5078 49.3002 54.8662
604 0.5073 31.0494 26.1219
591 0.5068 296.1222 18.9435
726 0.5000 278.4235 40.5090
1739 0.5000 44.4607 44.0825
1725 0.4951 280.1175 36.8948
684 0.4950 282.5648 33.3103
1764 0.4942 275.5000 44.0870
764 0.4921 273.1608 47.7003
1494 0.4905 8.8790 8.1376
1543 0.4905 348.2335 8.1344
1540 0.4905 327.6582 8.1500
1544 0.4904 355.0920 8.1313
1541 0.4903 334.5163 8.1348
1542 0.4903 341.3751 8.1275
1539 0.4901 320.8012 8.1416
1548 0.4899 22.9148 15.3246
1538 0.4899 313.9481 8.1415
797 0.4885 268.9164 54.8800
1587 0.4881 297.5455 15.3306
1856 0.4873 263.9602 65.6355
1682 0.4870 284.1809 29.7150
1800 0.4868 270.5275 51.2841
1600 0.4858 30.7100 22.5108
653 0.4848 39.4791 33.3263
856 0.4846 59.9711 76.3598
638 0.4774 285.7707 26.1457
1813 0.4770 55.0013 58.4522
1779 0.4730 51.9516 51.2670
1495 0.4728 15.5985 8.1383
836 0.4722 59.9730 69.2083
699 0.4716 45.9614 40.5097
1650 0.4673 39.0705 29.7034
1635 0.4656 287.3762 22.5243
541 0.4650 298.9117 11.7623
554 0.4621 30.3593 18.9329
870 0.4621 60.1252 83.3985
502 0.4578 22.7118 11.7390
1697 0.4549 45.7917 36.8923
741 0.4547 52.3815 47.6823
590 0.4511 288.9164 18.9462
810 0.4509 59.9830 62.0412
605 0.4490 38.5752 26.1107
825 0.4457 260.0365 62.0583
875 0.4453 258.3372 83.3915
1549 0.4350 30.0277 15.3281
683 0.4343 274.7112 33.3263
725 0.4334 269.8076 40.5122
1586 0.4330 290.4322 15.3312
1724 0.4305 271.7535 36.9008
1740 0.4289 53.6536 44.0859
1601 0.4287 38.0996 22.5160
1681 0.4277 276.5217 29.7073
1830 0.4255 259.0378 58.4561
654 0.4246 47.2599 33.3267
778 0.4242 60.0998 54.8670
1763 0.4227 266.2516 44.0862
637 0.4195 278.2892 26.1407
1496 0.4191 22.5349 8.1302
864 0.4182 252.1259 76.3688
763 0.4166 263.3848 47.6965
540 0.4110 291.9267 11.7583
1634 0.4090 280.0617 22.5238
1651 0.4081 46.7263 29.7017
1799 0.4061 260.0938 51.2641
555 0.4060 37.6074 18.9269
700 0.4055 54.5097 40.5136
503 0.4038 29.6949 11.7409
796 0.4028 257.8191 54.8849
1780 0.3963 61.8618 51.2678
589 0.3949 281.6519 18.9486
1843 0.3938 68.8125 65.6235
447 0.3911 5.2253 4.5535
497 0.3911 351.2079 4.5520
496 0.3911 344.1972 4.5516
448 0.3910 12.2366 4.5515
494 0.3910 330.1750 4.5599
606 0.3909 46.0974 26.1161
495 0.3909 337.1850 4.5486
493 0.3906 323.1660 4.5565
449 0.3904 19.2457 4.5378
492 0.3903 316.1560 4.5588
1698 0.3901 54.1724 36.8946
490 0.3900 302.1362 4.5720
491 0.3897 309.1471 4.5522
1814 0.3842 66.9985 58.4565
1866 0.3835 72.4450 72.7794
1550 0.3800 37.1436 15.3281
847 0.3789 248.6334 69.2279
