590204300115478,NaN ,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
802206300005463,NaN ,r and g filters; high amplitude; galactic plane ,1.0
803202100020065,MX Lac,Mira; galactic plane,4.0
802206300009669,Dauban V234,Var; galactic plane,3.0
729206300047340,V1648 Cyg,Mira; galactic plane ,4.0
687209300051903,ASASSN-V J203430.74+340017.1,SR (Semi-regular variables); galactic plane ,4.0
487210200008585,NaN ,"Mira (Heinze+, 2018); galactic plane",4.0
539209400012070,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
539204400097960,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
640209300113596,NaN ,galactic plane ,1.0
539213200074386,IRAS 19066+1452 ,Variable Star of Mira Cet type (Simbad); galac... ,4.0
640211400033931,NaN ,galactic plane ,1.0
487214300014806,IRAS 18440+0704 ,Star (Simbad); Class I/II YSO candidates (Marton et al. 2016); high amplitude; galactic plane,2.0
590215200105972,Bn V03,M galactic plane,4.0
687212100004940,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
540207100034146,NaN ,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
831202400037295,V0528 Cep,M galactic plane,4.0
591203200029728,Mis V1254,M galactic plane,4.0
687211100022944,NaN ,galactic plane ,1.0
639206300011733,NaN ,galactic plane ,1.0
687202200082154,NaN ,"Class III YSO candidates (Marton+, 2016); galactic plane",2.0
804215200011562,V0528 Cep,M galactic plane,4.0
539214200014287,NaN ,Class III and more evolved YSO candidates; irregular; galactic plane,4.0
687207200006401,NaN ,galactic plane ,1.0
591205300033257,NaN ,galactic plane ,1.0
729207300066782,ASASSN-V J200849.07+390431.4,SR (Semi-regular variables); galactic plane ,4.0
639212200041293,V0458 Lyr,M: galactic plane,3.0
539213100004292,NaN ,"Mira (Heinze+, 2018); galactic plane ",3.0
539202200038570,IRAS 18596+0854 ,Star (Simbad); Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
640213300086949,NaN ,galactic plane ,1.0
539213300044645,NaN ,"Mira (Heinze+, 2018); galactic plane ",3.0
539213400118533,NSVS 11153816,SR|L; galactic plane,4.0
687213400094768,LL Cyg,M galactic plane,4.0
539209100057032,NaN ,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
640203100010778,V0432 Vul,SR: (Semi-regular variables); galactic plane ,3.0
540207100012603,NaN ,galactic plane ,1.0
640209100020577,ASASSN-V J201659.94+273309.2,SR (Semi-regular variables); Class I/II YSO candidates; galactic plane ,4.0
832202300007014,Mis V1272 ,Variable,3.0
640206100021570,V0365 Vul,M galactic plane,4.0
539203200022408,ASASSN-V J185402.02+091650.8,SR (Semi-regular variables); galactic plane ,4.0
540212300015724,NSVS 11155092 ,Mira; galactic plane ,4.0
590213200087687,NaN ,galactic plane ,1.0
686212200038589,V1138 Cyg ,Mira; galactic plane ,4.0
729212200060615,ASASSN-V J195840.67+414741.5,SR (Semi-regular variables); galactic plane ,4.0
830206300032881,PY Cep,Mira; galactic plane ,4.0
590212200014696,NADA-V56 ,Mira; galactic plane ,4.0
802216100048435,Mis V1166 ,2 filters; high apmlitude; var; type of variability is not known; galactic plane,1.5
487208200030944,Mis V0426,L (Slow irregular variables); galactic plane,3.0
640211100003952,IRAS 19591+2746,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
830204300048401,Mis V1166 ,2 filters; high apmlitude; var; type of variability is not known; galactic plane,1.5
687202100014566,IRAS 20266+3054 ,"Mira (Heinze+, 2018); slightly different behaviour in g and r filter; galactic plane",3.0
539204100014832,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
687216300066048,NaN ,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
591215400081989,IRAS 19407+2106,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
686206100040483,NSVS J1959517+323214 ,Mira; LC is interesting; galactic plane ,4.0
590203400040618,NaN ,"Mira (Heinze+, 2018); galactic plane ",2.0
768201300042249,ASASSN-V J210122.76+440520.6 ,SR (Semi-regular variables); galactic plane ,4.0
591211100040069,TCP J19441156+2003460,M: galactic plane; Class III and more evolved YSO candidates,4.0
539213300109026,TSVSC1 TN-N023332303-369-67-2,Var; galactic plane,3.0
686213400012368,IRAS 20091+3546 ,"Mira (Heinze+, 2018); galactic plane ",3.0
487207300027072,NSVS 13902712  ,LPV; galactic plane,3.0
730201200016745,Mis V0374,SR: (Semi-regular variables); galactic plane ,3.0
687216400053161,IRAS 20091+3546 ,"Mira (Heinze+, 2018); galactic plane ",3.0
539206300022042,NaN ,galactic plane ,1.0
639201400073493,NaN ,galactic plane ,1.0
687216300096562,Mis V1270,SR: (Semi-regular variables); galactic plane ,3.0
488209300035550,Dauban V472,Var; Class I/II YSO candidates (Marton et al. 2016); galactic plane,3.0
640212100018642,Dauban V78 ,"VAR (Watson+, 2006-2014) – means no type; gala... ",3.0
591205400038698,AS Sge,Mira; galactic plane ,4.0
833206400048329,V0865 Cas,M galactic plane,4.0
640207100024012,V0435 Vul,SR: (Semi-regular variables); galactic plane ,3.0
540207400128036,Dauban V307,Var; galactic plane,3.0
686213400064491,IRAS 20083+3525 ,Infra-Red source (Simbad); Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
590213200023676,ASASSN-V J192450.44+221451.5,SR (Semi-regular variables); galactic plane ,4.0
686213400079523,Mis V1270,SR: (Semi-regular variables); galactic plane ,3.0
770211100052012,V0445 Lac ,Mira candidate; galactic plane ,4.0
686206400036275,IRAS 19566+3136,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
729203100036296,V0434 Cyg,Mira; galactic plane ,4.0
830210100033929,LX Cep ,Mira; galactic plane ,4.0
639212400008104,IP Vul,M galactic plane,4.0
591214200009158,NaN ,galactic plane ,1.0
488211400007791,IRAS 19090+0517 ,"Mira (Heinze+, 2018); galactic plane ",3.0
639212200003738,Dauban V210,Var; galactic plane,4.0
487207400029994,ASASSN-V J184203.48+030553.8,SR (Semi-regular variables); galactic plane ,4.0
730215400027261,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
539215400005869,NaN ,"Mira (Heinze+, 2018); galactic plane",4.0
488201400060806,V0851 Aql,Mira; galactic plane ,4.0
488209300087984,NaN ,"mentioned as probably not variable in Heinze+, 2018; galactic plane",3.0
