,0
0,ZTF18ablruzq_format_r
1,ZTF18aasszwr_format_r
2,ZTF18aaztjyd_format_r
3,MACHO-6.6696.60_format_B
4,OGLE-LMC-CEP-0227_format_I
5,ZTF18abhjrcf_format_r
6,ZTF18acskgwu_format_r
7,step
8,MACHO-6.6696.60_format_R
9,flat_noise
10,Gaia16aye_2_format_r
11,ZTF18abaqxrt_format_r
12,Gaia16aye_format_r
13,Gaia16aye_3_format_r
14,OGLE-LMC-CEP-0227_format_V
15,flat
