,0
0,ZTF18abaqxrt_format_r
1,OGLE-LMC-CEP-0227_format_V
2,Gaia16aye_2_format_r
3,ZTF18aasszwr_format_r
4,MACHO-6.6696.60_format_B
5,OGLE-LMC-CEP-0227_format_I
6,step
7,ZTF18aaztjyd_format_r
8,MACHO-6.6696.60_format_R
9,flat_noise
10,Gaia16aye_format_r
11,ZTF18acskgwu_format_r
12,ZTF18ablruzq_format_r
13,ZTF18abhjrcf_format_r
14,Gaia16aye_3_format_r
15,flat
