mjd,mag,magerr,clrcoeff
58334.27364,19.082,0.056,0.105
58334.27457,19.0,0.054,0.074
58334.27549,19.179,0.059,0.096
58334.27642,19.019,0.054,0.071
58334.27733,19.055,0.055,0.097
58334.27826,19.036,0.055,0.079
58334.27919,19.079,0.056,0.087
58334.28011,19.075,0.056,0.097
58334.28104,19.087,0.056,0.086
58334.28195,19.08,0.056,0.088
58334.28288,19.062,0.056,0.07
58334.2838,19.111,0.057,0.081
58334.28473,19.031,0.055,0.088
58334.28564,18.998,0.054,0.097
58334.28657,19.081,0.056,0.068
58334.2875,19.021,0.054,0.104
58334.28842,18.988,0.053,0.096
58334.28934,18.955,0.052,0.108
58334.29026,19.11,0.057,0.092
58334.29119,18.999,0.054,0.106
58334.29211,19.008,0.054,0.075
58334.29303,19.004,0.054,0.108
58334.29395,19.073,0.056,0.098
58334.29488,18.974,0.053,0.097
58334.29579,19.028,0.054,0.073
58334.29672,19.054,0.055,0.096
58334.29765,18.98,0.053,0.109
58334.29857,19.031,0.055,0.11
58334.29949,19.047,0.055,0.08
58334.30041,18.931,0.052,0.116
58334.30134,19.205,0.06,0.101
58334.30226,19.06,0.055,0.1
58334.30318,19.024,0.054,0.116
58334.36131,18.992,0.053,0.122
58336.22931,18.582,0.043,0.075
58337.33271,18.603,0.044,0.072
58338.21089,18.583,0.044,0.093
58340.30539,18.659,0.045,0.088
58341.32875,18.608,0.044,0.093
58342.32908,18.557,0.043,0.082
58343.3266,18.508,0.042,0.102
58344.1777,18.472,0.041,0.101
58345.32533,18.561,0.043,0.076
58348.21806,18.425,0.041,0.079
58349.30083,18.369,0.04,0.065
58350.19248,18.353,0.039,0.1
58351.23096,18.248,0.038,0.1
58352.27885,18.327,0.039,0.084
58353.19242,18.314,0.039,0.083
58353.29539,18.375,0.04,0.084
58354.1716,18.336,0.039,0.082
58354.23409,18.265,0.038,0.098
58356.19316,18.287,0.038,0.089
58356.27631,18.292,0.038,0.087
58357.27355,18.333,0.039,0.085
58359.25454,18.332,0.039,0.085
58361.2355,18.392,0.04,0.101
58362.19034,18.35,0.039,0.108
58363.21454,18.372,0.04,0.104
58364.17002,18.369,0.04,0.083
58365.17271,18.385,0.04,0.092
58366.18492,18.369,0.04,0.083
58367.17112,18.445,0.041,0.08
58368.17317,18.288,0.038,0.097
58369.17252,18.425,0.041,0.073
58370.15056,18.343,0.039,0.086
58371.17099,18.233,0.037,0.112
58373.14921,18.162,0.036,0.111
58374.17295,17.847,0.032,0.098
58375.16107,17.516,0.029,0.074
58377.17086,19.248,0.062,0.09
58378.12814,19.07,0.056,0.097
58381.12783,19.044,0.055,0.056
58382.12874,19.206,0.06,0.097
58383.12846,19.109,0.057,0.096
58384.13458,19.169,0.059,0.093
58385.19066,19.135,0.058,0.081
58386.19128,19.119,0.057,0.1
58389.10802,19.312,0.064,0.047
58390.18871,19.238,0.061,0.088
58425.08752,19.269,0.062,0.081
58427.10085,19.194,0.06,0.082
58428.09972,19.207,0.06,0.089
58430.08748,19.232,0.061,0.091
58431.12839,19.325,0.065,0.108
58433.09031,19.28,0.063,0.099
58456.06927,19.427,0.069,0.079
58465.0769,18.616,0.044,0.096
58465.08182,18.806,0.048,0.111
58466.06726,19.403,0.068,0.1
58466.07213,19.412,0.068,0.089
58466.077,19.34,0.065,0.097
58466.08187,19.353,0.066,0.092
58575.46073,19.282,0.063,0.118
58582.47745,19.276,0.063,0.086
58584.50756,19.268,0.062,0.1
58585.4415,19.35,0.065,0.1
58588.44444,19.331,0.065,0.068
