mjd,mag,magerr,clrcoeff
58702.39264,20.771,0.183,0.089
58705.45663,20.800,0.185,0.094
58708.49244,21.125,0.212,0.099
58711.37841,21.134,0.213,0.094
58720.38257,20.862,0.190,0.083
58730.39687,20.939,0.197,0.091
58745.16512,21.018,0.203,0.096
58747.16577,20.654,0.173,0.097
58748.16489,21.058,0.206,0.097
58749.16638,20.770,0.183,0.094
58751.16430,21.124,0.212,0.099
58754.16391,21.135,0.213,0.094
58758.17286,20.963,0.199,0.096
58759.20809,20.869,0.191,0.094
58760.16533,20.776,0.183,0.093
58761.16431,21.007,0.202,0.093
58762.16403,21.002,0.202,0.093
58763.16530,20.952,0.198,0.093
58764.14969,20.554,0.165,0.085
58772.15203,20.701,0.177,0.096
58773.15065,20.863,0.190,0.092
58775.15066,20.635,0.172,0.092
58776.14987,21.053,0.206,0.095
58777.15027,20.602,0.169,0.098
58778.15046,20.858,0.190,0.096
58782.14921,20.761,0.182,0.092
58783.15039,20.795,0.185,0.099
58785.15000,20.679,0.175,0.1
58786.15689,20.759,0.182,0.097
58787.14923,20.336,0.143,0.106
58790.18196,20.528,0.163,0.106
58791.11898,20.773,0.183,0.092
58792.15582,20.765,0.182,0.093
58795.09211,20.582,0.167,0.088
58805.21836,20.851,0.189,0.097
58812.10323,20.611,0.170,0.105
58831.08104,20.742,0.180,0.094
