mjd,mag,magerr,clrcoeff
58365.13647,17.457,0.024,0.109
58423.54496,17.322,0.021,0.096
58423.54775,17.398,0.023,0.106
58426.54362,17.322,0.022,0.063
58426.54408,17.355,0.021,0.108
58429.55125,17.395,0.023,0.085
58432.54993,17.311,0.022,0.105
58432.55039,17.307,0.02,0.096
58440.54895,17.373,0.023,0.1
58440.55084,17.324,0.021,0.102
58443.45132,17.399,0.021,0.092
58443.4707,17.373,0.023,0.101
58447.47124,17.39,0.023,0.107
58447.47308,17.379,0.021,0.095
58474.49206,17.493,0.025,0.105
58476.52859,17.421,0.022,0.098
58480.55905,17.374,0.021,0.104
58486.48918,17.434,0.022,0.104
58486.51547,17.466,0.024,0.108
58491.54091,17.471,0.022,0.098
58502.55763,17.494,0.025,0.097
58503.49058,17.517,0.023,0.106
58506.55884,17.309,0.02,0.106
58508.48972,17.44,0.024,0.105
58509.48909,17.476,0.022,0.122
58511.39115,17.548,0.026,0.104
58522.54004,17.49,0.025,0.107
58522.541,17.593,0.024,0.092
58526.50317,17.519,0.023,0.102
58534.38457,17.54,0.023,0.111
58534.43212,17.578,0.026,0.123
58543.36721,17.559,0.023,0.089
58543.36858,17.589,0.026,0.106
58559.26587,17.491,0.025,0.112
58559.28502,17.529,0.023,0.088
58562.35373,17.477,0.022,0.102
58562.35418,17.485,0.025,0.113
58567.32841,17.562,0.026,0.119
58567.33213,17.561,0.023,0.098
58572.30736,17.49,0.025,0.097
58572.31009,17.568,0.024,0.099
58575.39254,17.479,0.025,0.109
58580.29168,17.496,0.023,0.104
58580.29213,17.483,0.025,0.11
58584.30895,17.45,0.024,0.114
58584.32324,17.487,0.023,0.108
58587.26955,17.518,0.023,0.094
58587.28557,17.57,0.026,0.108
58591.35362,17.529,0.023,0.099
58591.41756,17.456,0.024,0.116
58594.32379,17.455,0.022,0.11
58594.34637,17.459,0.024,0.113
58597.32037,17.536,0.025,0.098
58597.32449,17.509,0.023,0.099
58606.23034,17.47,0.024,0.109
58606.23079,17.495,0.023,0.109
58612.21805,17.466,0.022,0.098
58612.2212,17.491,0.025,0.1
58616.18156,17.555,0.026,0.105
58616.18201,17.457,0.022,0.094
58628.32245,17.552,0.026,0.109
58628.32429,17.562,0.023,0.106
58633.19304,17.53,0.025,0.1
58633.19487,17.535,0.023,0.1
58639.18676,17.555,0.023,0.101
58642.23662,17.564,0.023,0.108
58642.23707,17.599,0.026,0.106
58646.22065,17.586,0.026,0.105
58648.2042,17.606,0.024,0.106
58649.23648,17.647,0.027,0.103
58651.23964,17.618,0.024,0.11
58652.27755,17.648,0.027,0.12
58654.18112,17.582,0.024,0.102
58655.17618,17.552,0.026,0.107
58661.20377,17.532,0.023,0.108
58661.20421,17.524,0.025,0.113
