mjd,mag,magerr,clrcoeff
5625.62013,14.290,0.005,
5626.58124,14.395,0.005,
5627.54594,14.475,0.005,
5629.55164,14.305,0.005,
5630.59763,14.417,0.005,
5632.54568,14.445,0.005,
5633.59474,14.340,0.005,
5634.55513,14.437,0.005,
5635.55944,14.524,0.005,
5638.56408,14.445,0.005,
5639.57431,14.528,0.005,
5640.51331,14.267,0.005,
5641.54098,14.373,0.005,
5642.48921,14.465,0.005,
5643.48698,14.538,0.005,
5644.48875,14.270,0.005,
5645.48848,14.394,0.005,
5646.50149,14.473,0.005,
5647.50343,14.543,0.005,
5648.50330,14.306,0.005,
5649.51888,14.413,0.005,
5650.49929,14.484,0.005,
5651.50527,14.473,0.005,
5652.50019,14.329,0.005,
5653.53032,14.429,0.005,
5654.53877,14.500,0.005,
5655.52997,14.292,0.005,
5656.53886,14.352,0.005,
5656.57256,14.354,0.005,
5657.49882,14.441,0.005,
5659.49810,14.243,0.005,
5660.54350,14.377,0.005,
5664.47770,14.388,0.005,
5665.49293,14.479,0.005,
5666.48975,14.532,0.005,
5667.47121,14.308,0.005,
5668.47749,14.412,0.005,
5669.47151,14.490,0.005,
5670.52179,14.439,0.005,
5671.47333,14.335,0.005,
5672.46785,14.425,0.005,
5674.47505,14.322,0.005,
5675.46922,14.343,0.005,
5676.52414,14.437,0.005,
5677.46512,14.513,0.005,
5678.50016,14.243,0.005,
5679.46746,14.358,0.005,
5680.51591,14.454,0.005,
5681.47891,14.542,0.005,
5682.47940,14.258,0.005,
5683.48439,14.389,0.005,
5684.48859,14.471,0.005,
5685.46021,14.535,0.005,
5686.46209,14.287,0.005,
5687.46281,14.411,0.005,
5691.45575,14.417,0.005,
5692.50030,14.519,0.005,
5694.46187,14.384,0.005,
5695.45630,14.544,0.005,
5696.46524,14.652,0.005,
5697.45513,14.374,0.005,
5699.46467,14.781,0.005,
5700.45626,14.903,0.005,
5702.45316,14.715,0.005,
5783.92992,14.533,0.005,
5795.91940,14.381,0.005,
5810.84455,14.540,0.005,
5812.83736,14.416,0.005,
5814.85418,14.423,0.005,
