mjd,mag,magerr,clrcoeff
58198.39389,20.971,0.221,0.088
58198.43055,20.865,0.211,0.092
58198.45246,20.781,0.204,0.088
58198.47677,20.889,0.213,0.096
58198.48454,20.865,0.211,0.096
58198.48546,20.654,0.192,0.098
58216.39971,20.063,0.134,0.113
58217.4174,20.463,0.175,0.097
58218.39726,20.714,0.198,0.098
58218.43734,20.896,0.214,0.101
58218.47816,20.605,0.188,0.104
58218.50207,20.068,0.134,0.109
58222.3777,20.613,0.188,0.098
58226.40619,20.874,0.212,0.102
58226.46723,20.659,0.193,0.101
58227.40435,20.309,0.158,0.106
58229.38951,20.577,0.185,0.094
58229.41092,20.281,0.155,0.098
58229.43606,20.273,0.155,0.097
58231.3667,20.255,0.153,0.105
58232.39267,20.613,0.188,0.106
58244.34615,19.954,0.124,0.099
58246.42492,20.259,0.153,0.113
58247.40683,20.773,0.203,0.107
58252.38993,20.911,0.215,0.103
58254.37564,20.794,0.205,0.103
58255.30197,20.875,0.212,0.114
58257.30101,20.822,0.207,0.101
58257.32591,20.602,0.187,0.103
58257.35226,20.535,0.181,0.107
58257.406,20.727,0.199,0.105
58258.40796,20.766,0.202,0.12
58258.42657,20.695,0.196,0.104
58263.40743,20.389,0.167,0.106
58266.32604,20.392,0.167,0.104
58268.38015,20.185,0.146,0.093
58269.3694,20.906,0.215,0.101
58270.35039,20.536,0.182,0.095
58273.32425,20.262,0.153,0.1
58273.34963,20.288,0.156,0.103
58273.37306,20.592,0.187,0.097
58274.30508,20.894,0.214,0.096
58276.29035,20.819,0.207,0.101
58276.30686,20.656,0.192,0.097
58276.32434,20.807,0.206,0.099
58278.28499,20.795,0.205,0.102
58278.2859,20.928,0.217,0.104
58278.31049,20.571,0.185,0.095
58279.25124,20.822,0.207,0.101
58280.30655,20.837,0.209,0.099
58280.32484,20.551,0.183,0.094
58280.34263,20.915,0.216,0.087
58281.22009,20.592,0.187,0.095
58281.32945,20.774,0.203,0.098
58281.34541,20.872,0.212,0.1
58282.30691,20.559,0.184,0.099
58283.34773,20.932,0.217,0.094
58283.36723,20.584,0.186,0.087
58284.2814,20.639,0.191,0.094
58284.30302,20.581,0.186,0.099
58285.32279,20.832,0.208,0.095
58285.39072,20.806,0.206,0.089
58286.30626,20.624,0.189,0.096
58286.32786,20.292,0.157,0.092
58287.30596,20.953,0.219,0.096
58288.27066,20.48,0.176,0.099
58288.30637,20.745,0.2,0.099
58289.25978,20.739,0.2,0.095
58290.33127,20.643,0.191,0.095
58291.26752,20.845,0.209,0.102
58291.30323,20.695,0.196,0.098
58292.30089,20.685,0.195,0.099
58292.32035,20.723,0.198,0.097
58293.24947,20.181,0.145,0.111
58293.25039,20.168,0.144,0.104
58294.30448,20.227,0.15,0.104
58296.24984,20.749,0.201,0.096
58296.28498,20.563,0.184,0.093
58297.26114,20.422,0.17,0.107
58298.29942,20.014,0.129,0.107
58300.34445,20.37,0.165,0.106
58302.34195,20.318,0.159,0.111
58302.34286,20.373,0.165,0.113
58303.30817,20.542,0.182,0.1
58303.32307,20.847,0.209,0.091
58303.34805,20.501,0.178,0.086
58305.18745,20.43,0.171,0.1
58305.34939,20.397,0.167,0.094
58306.199,20.318,0.159,0.092
58307.18419,20.916,0.216,0.103
58307.20244,20.679,0.194,0.095
58307.3693,20.912,0.215,0.095
58308.24657,20.852,0.21,0.102
58308.31928,20.624,0.189,0.1
58311.18422,20.709,0.197,0.097
58311.2001,21.036,0.226,0.095
58312.2234,20.891,0.213,0.104
58319.24337,20.451,0.173,0.103
58319.28167,20.308,0.158,0.101
58321.27792,20.6,0.187,0.103
58322.28028,20.681,0.195,0.102
58326.2958,20.169,0.144,0.084
58330.32251,20.367,0.164,0.1
58331.17819,20.687,0.195,0.1
58331.19777,20.651,0.192,0.1
58334.16507,20.535,0.182,0.098
58337.19444,20.386,0.166,0.109
58346.17618,20.822,0.207,0.106
58349.24142,20.658,0.193,0.108
58350.18298,20.444,0.173,0.099
58355.23975,20.41,0.169,0.102
58358.21977,19.981,0.126,0.096
58364.14247,20.59,0.186,0.1
58364.17449,20.579,0.185,0.098
58365.13564,20.334,0.161,0.093
58365.15594,20.866,0.211,0.102
58365.17999,20.431,0.171,0.098
58368.15662,20.332,0.161,0.1
58368.15845,20.582,0.186,0.107
58369.13396,20.319,0.159,0.1
58370.14297,20.894,0.214,0.102
58370.15489,20.625,0.19,0.098
58371.13767,20.685,0.195,0.095
58371.15923,20.671,0.194,0.099
58373.12788,20.71,0.197,0.099
58373.15874,20.487,0.177,0.101
58374.15863,20.861,0.211,0.104
58376.16283,20.646,0.191,0.095
58377.13644,20.902,0.214,0.094
58377.13736,20.72,0.198,0.098
58492.49473,20.296,0.157,0.092
58541.55872,20.426,0.171,0.105
58547.53704,20.722,0.198,0.093
58556.51729,20.792,0.205,0.103
58627.3715,20.672,0.194,0.094
