mjd,mag,magerr,clrcoeff
58390.24946,19.597,0.083,0.095
58390.25697,19.562,0.08,0.11
58397.41331,19.533,0.078,0.102
58400.22322,19.496,0.076,0.1
58423.30806,19.706,0.09,0.101
58423.309,19.822,0.1,0.104
58423.31831,19.742,0.093,0.107
58426.25519,19.821,0.1,0.108
58426.26322,19.762,0.095,0.103
58426.26416,19.656,0.087,0.104
58428.2472,19.795,0.097,0.113
58428.26445,19.765,0.095,0.112
58428.28796,19.83,0.1,0.113
58429.27399,19.909,0.107,0.113
58429.27542,19.787,0.097,0.108
58429.28032,19.686,0.089,0.11
58430.10931,19.946,0.111,0.087
58430.20428,19.865,0.103,0.109
58431.15384,19.933,0.109,0.103
58431.18537,19.918,0.108,0.112
58432.26978,19.778,0.096,0.105
58432.27072,19.765,0.095,0.1
58432.28086,20.113,0.128,0.107
58432.29791,19.855,0.102,0.109
58434.18974,19.897,0.106,0.11
58434.206,20.099,0.126,0.114
58435.26932,19.754,0.094,0.102
58435.27027,19.958,0.112,0.105
58435.27806,19.743,0.093,0.11
58435.29818,19.843,0.101,0.104
58436.29754,19.772,0.096,0.11
58456.17596,20.206,0.138,0.108
58650.43224,19.625,0.085,0.111
58653.44523,19.662,0.087,0.106
58657.43069,19.798,0.098,0.112
58665.4508,19.764,0.095,0.102
58668.36716,19.737,0.093,0.11
58677.48797,19.836,0.101,0.105
58683.44405,19.895,0.106,0.107
58690.4359,19.953,0.111,0.101
58693.46965,20.187,0.136,0.1
58696.47199,20.202,0.138,0.103
58699.38406,20.265,0.146,0.098
58703.4313,20.365,0.159,0.1
58706.40999,20.393,0.163,0.1
58712.38003,20.401,0.164,0.1
58715.42639,20.801,0.21,0.105
58727.49098,21.096,0.241,0.107
58846.11675,21.155,0.247,0.105
