mjd,mag,magerr,clrcoeff
58256.48045,18.965,0.064,0.086
58276.46222,19.271,0.081,0.084
58278.46876,19.213,0.077,0.075
58280.46956,19.384,0.089,0.078
58281.46376,19.273,0.081,0.079
58283.46995,19.326,0.085,0.093
58284.47034,19.345,0.086,0.049
58286.47021,19.163,0.074,0.08
58287.47154,19.428,0.092,0.079
58289.47348,19.308,0.083,0.086
58294.47203,19.3,0.083,0.078
58297.43001,19.21,0.077,0.075
58298.44647,19.434,0.092,0.087
58301.4457,19.33,0.085,0.079
58302.40732,19.284,0.082,0.096
58303.47318,19.258,0.08,0.092
58304.40157,19.286,0.082,0.071
58305.42588,19.105,0.071,0.077
58307.40529,19.347,0.086,0.074
58313.43145,19.369,0.088,0.091
58314.4474,19.314,0.084,0.075
58315.473,19.136,0.073,0.085
58319.46863,19.364,0.087,0.077
58321.47035,19.372,0.088,0.08
58322.48936,19.256,0.08,0.067
58323.47839,19.318,0.084,0.077
58325.47431,19.252,0.08,0.074
58326.40736,18.896,0.06,0.069
58327.43601,19.114,0.072,0.087
58328.42626,19.261,0.08,0.072
58329.48577,19.26,0.08,0.081
58330.42749,19.28,0.082,0.081
58336.39963,19.421,0.091,0.081
58337.34157,19.329,0.085,0.078
58342.46779,19.248,0.08,0.083
58343.36806,19.416,0.091,0.078
58345.38912,19.281,0.082,0.068
58348.40754,19.3,0.083,0.083
58349.34397,19.368,0.088,0.081
58350.39263,19.302,0.083,0.08
58351.38509,19.311,0.084,0.085
58352.48239,19.335,0.085,0.064
58353.43255,19.31,0.084,0.068
58353.47428,19.372,0.088,0.068
58354.34456,19.168,0.075,0.087
58354.43049,19.4,0.09,0.083
58355.46671,19.312,0.084,0.061
58357.40888,19.535,0.1,0.069
58357.47404,19.162,0.074,0.064
58358.42253,19.394,0.089,0.08
58359.32719,19.41,0.09,0.072
58360.33931,19.582,0.104,0.094
58361.34847,19.336,0.085,0.077
58362.40339,19.357,0.087,0.083
58363.43574,19.281,0.082,0.079
58364.34624,19.431,0.092,0.082
58365.34861,19.228,0.078,0.081
